image_id,filename,overall_score,hard_failure_reasons,score_focus,score_brightness,score_contrast,score_noise,score_fov,score_illumination,score_artifact
aptos_837acf120946,aptos_837acf120946.png,0.7164,"Severe Defocus Blur (NormLap=6.5 < 8.0, RawLap=10.22, Tenengrad=460.4)",0.3574,0.6382,1.0,0.9104,0.9839,0.4269,1.0
aptos_840527bc6628,aptos_840527bc6628.png,0.7973,"Severe Defocus Blur (NormLap=37.6 < 8.0, RawLap=3.81, Tenengrad=54.1)",0.395,0.8574,0.8337,0.9492,1.0,1.0,1.0
aptos_84b472c49cfa,aptos_84b472c49cfa.png,0.6783,"Severe Defocus Blur (NormLap=4.7 < 8.0, RawLap=7.33, Tenengrad=178.9)",0.2052,0.4494,1.0,0.9294,0.9839,0.6907,1.0
aptos_84b88e8d3bca,aptos_84b88e8d3bca.png,0.7222,"Severe Defocus Blur (NormLap=6.9 < 8.0, RawLap=10.78, Tenengrad=266.7)",0.2695,0.589,1.0,0.9144,0.9839,0.7749,1.0
aptos_857002ed4e49,aptos_857002ed4e49.png,0.7973,"Severe Defocus Blur (NormLap=37.6 < 8.0, RawLap=3.81, Tenengrad=54.1)",0.395,0.8574,0.8337,0.9492,1.0,1.0,1.0
aptos_85fce24084da,aptos_85fce24084da.png,0.8054,"Severe Defocus Blur (NormLap=39.1 < 8.0, RawLap=3.96, Tenengrad=75.1)",0.4588,0.7918,0.8479,0.9476,1.0,1.0,1.0
aptos_8693ab1fd2be,aptos_8693ab1fd2be.png,0.6547,"Severe Defocus Blur (NormLap=5.8 < 8.0, RawLap=9.12, Tenengrad=193.2)",0.2176,0.4401,0.6612,0.918,0.9839,0.9571,1.0
aptos_87d46b1cc4e9,aptos_87d46b1cc4e9.png,0.6688,Severe Underexposure (Retinal Mean Intensity=34.8 < 40.0),0.9188,0.1266,0.5601,0.3578,0.9414,0.5914,1.0
aptos_89ee1fa16f90,aptos_89ee1fa16f90.png,0.7334,Severe Flash Bleaching (Retinal Mean Intensity=153.7 > 140.0),0.5482,0.0231,1.0,0.9285,1.0,1.0,1.0
aptos_8b8fe3fc8950,aptos_8b8fe3fc8950.png,0.7644,"Severe Defocus Blur (NormLap=7.9 < 8.0, RawLap=12.42, Tenengrad=329.7)",0.3036,0.71,1.0,0.9061,0.984,0.9378,1.0
aptos_8c84e96d9b01,aptos_8c84e96d9b01.png,0.6825,Severe Non-Uniform Illumination (Map CoV=0.552 > 0.52),0.6514,0.6704,0.6928,0.6822,0.984,0.2604,0.7331
aptos_8f318a978844,aptos_8f318a978844.png,0.5993,Severe Underexposure (Retinal Mean Intensity=39.7 < 40.0),0.1886,0.2941,0.4253,0.9421,1.0,1.0,1.0
aptos_8ffa608170d3,aptos_8ffa608170d3.png,0.7199,"Severe Defocus Blur (NormLap=6.7 < 8.0, RawLap=10.49, Tenengrad=246.5)",0.2568,0.7057,1.0,0.9155,0.984,0.6069,1.0
